Latitude,Longitude,2 metre temperature
45.16000000000031,12.999999999999815,28.501000976562523
45.16000000000031,13.019999999999817,28.472680664062523
45.16000000000031,13.039999999999814,28.474633789062523
45.16000000000031,13.059999999999814,28.453149414062523
45.16000000000031,13.079999999999814,28.456079101562523
45.16000000000031,13.099999999999811,28.444360351562523
45.16000000000031,13.119999999999813,28.444360351562523
45.16000000000031,13.139999999999812,28.450219726562523
45.16000000000031,13.159999999999812,28.450219726562523
45.16000000000031,13.179999999999811,28.474633789062523
45.16000000000031,13.199999999999813,28.474633789062523
45.16000000000031,13.21999999999981,28.471704101562523
