Latitude,Longitude,2 metre temperature
45.02000000000029,12.979999999999816,28.146295166015648
45.02000000000029,12.999999999999815,28.146295166015648
45.02000000000029,13.019999999999817,28.180474853515648
45.02000000000029,13.039999999999814,28.180474853515648
45.02000000000029,13.059999999999814,28.186334228515648
45.02000000000029,13.079999999999814,28.192193603515648
45.02000000000029,13.099999999999811,28.190240478515648
45.02000000000029,13.119999999999813,28.189263916015648
45.02000000000029,13.139999999999812,28.190240478515648
45.02000000000029,13.159999999999812,28.194146728515648
45.02000000000029,13.179999999999811,28.200006103515648
45.02000000000029,13.199999999999813,28.204888916015648
45.02000000000029,13.21999999999981,28.204888916015648
45.02000000000029,13.23999999999981,28.228326416015648
45.02000000000029,13.25999999999981,28.219537353515648
45.02000000000029,13.27999999999981,28.251763916015648
45.02000000000029,13.299999999999809,28.251763916015648
45.02000000000029,13.319999999999808,28.278131103515648
45.02000000000029,13.339999999999808,28.269342041015648
45.02000000000029,13.359999999999808,28.306451416015648
45.02000000000029,13.379999999999807,28.290826416015648
45.02000000000029,13.399999999999809,28.309381103515648
45.02000000000029,13.419999999999806,28.276177978515648
45.02000000000029,13.439999999999806,28.276177978515648
45.02000000000029,13.459999999999804,28.244927978515648
45.02000000000029,13.479999999999803,28.244927978515648
45.02000000000029,13.499999999999805,28.164849853515648
45.02000000000029,13.519999999999804,28.164849853515648
45.02000000000029,13.539999999999804,28.104302978515648
45.02000000000029,13.559999999999803,28.104302978515648
45.02000000000029,13.579999999999805,28.029107666015648
45.02000000000029,13.599999999999802,28.029107666015648
45.02000000000029,13.619999999999802,27.919732666015648
45.02000000000029,13.639999999999802,27.877740478515648
45.02000000000029,13.6599999999998,27.877740478515648
45.02000000000029,13.6799999999998,28.469537353515648
45.02000000000029,13.6999999999998,28.469537353515648
45.02000000000029,13.7199999999998,31.720513916015648
45.02000000000029,13.7399999999998,32.85723266601565
45.02000000000029,13.7599999999998,33.16582641601565
45.02000000000029,13.7799999999998,33.16582641601565
45.02000000000029,13.799999999999798,32.69121704101565
45.02000000000029,13.819999999999798,32.69121704101565
45.02000000000029,13.839999999999796,33.07695922851565
45.02000000000029,13.859999999999795,33.39043579101565
45.02000000000029,13.879999999999797,33.75567016601565
45.02000000000029,13.899999999999796,33.62676391601565
45.02000000000029,13.919999999999796,33.62676391601565
45.02000000000029,13.939999999999795,33.71172485351565
45.02000000000029,13.959999999999797,33.71172485351565
45.02000000000029,13.979999999999794,33.65996704101565
45.02000000000029,13.999999999999794,33.65996704101565
45.02000000000029,14.019999999999794,34.00176391601565
45.02000000000029,14.039999999999791,34.00176391601565
45.02000000000029,14.059999999999793,34.18535766601565
45.02000000000029,14.079999999999792,34.03301391601565
45.02000000000029,14.099999999999792,32.28887329101565
45.02000000000029,14.119999999999791,31.607232666015648
45.02000000000029,14.139999999999793,31.511529541015648
45.02000000000029,14.15999999999979,30.929498291015648
45.02000000000029,14.17999999999979,30.929498291015648
45.02000000000029,14.19999999999979,29.262506103515648
45.02000000000029,14.21999999999979,29.252740478515648
45.02000000000029,14.239999999999789,29.367974853515648
45.02000000000029,14.259999999999788,29.441217041015648
45.02000000000029,14.279999999999788,29.318170166015648
45.02000000000029,14.299999999999788,29.024224853515648
45.02000000000029,14.319999999999787,27.999810791015648
45.02000000000029,14.339999999999788,28.943170166015648
45.02000000000029,14.359999999999786,33.33379516601565
45.02000000000029,14.379999999999786,32.07988891601565
45.02000000000029,14.399999999999784,32.32695922851565
45.02000000000029,14.419999999999783,32.22149047851565
45.02000000000029,14.439999999999785,28.435357666015648
45.02000000000029,14.459999999999784,28.640435791015648
45.02000000000029,14.479999999999784,29.037896728515648
45.02000000000029,14.499999999999783,34.06524047851565
45.02000000000029,14.519999999999785,33.52910766601565
45.02000000000029,14.539999999999782,35.23516235351565
45.02000000000029,14.559999999999782,34.43535766601565
45.02000000000029,14.579999999999782,34.64141235351565
45.02000000000029,14.59999999999978,33.01348266601565
45.02000000000029,14.61999999999978,34.89043579101565
45.02000000000029,14.63999999999978,34.89043579101565
45.02000000000029,14.65999999999978,32.46270141601565
45.02000000000029,14.67999999999978,32.46270141601565
45.02000000000029,14.69999999999978,31.785943603515648
45.02000000000029,14.71999999999978,31.400201416015648
45.02000000000029,14.739999999999778,31.910943603515648
45.02000000000029,14.759999999999778,30.965631103515648
45.02000000000029,14.779999999999776,30.803521728515648
45.02000000000029,14.799999999999775,30.458795166015648
45.02000000000029,14.819999999999776,31.033990478515648
45.02000000000029,14.839999999999776,31.905084228515648
45.02000000000029,14.859999999999776,31.905084228515648
45.02000000000029,14.879999999999775,33.39531860351565
45.02000000000029,14.899999999999777,33.39531860351565
45.02000000000029,14.919999999999774,29.175592041015648
45.02000000000029,14.939999999999774,29.175592041015648
45.02000000000029,14.959999999999772,27.162896728515648
45.02000000000029,14.979999999999771,27.130670166015648
45.02000000000029,14.999999999999773,27.716607666015648
45.02000000000029,15.019999999999772,27.932427978515648
45.02000000000029,15.039999999999772,27.932427978515648
