Latitude,Longitude
45.02000000000029,12.979999999999816
45.02000000000029,12.999999999999815
45.02000000000029,13.019999999999817
45.02000000000029,13.039999999999814
45.02000000000029,13.059999999999814
45.02000000000029,13.079999999999814
45.02000000000029,13.099999999999811
45.02000000000029,13.119999999999813
45.02000000000029,13.139999999999812
45.02000000000029,13.159999999999812
45.02000000000029,13.179999999999811
45.02000000000029,13.199999999999813
45.02000000000029,13.21999999999981
45.02000000000029,13.23999999999981
45.02000000000029,13.25999999999981
45.02000000000029,13.27999999999981
45.02000000000029,13.299999999999809
45.02000000000029,13.319999999999808
45.02000000000029,13.339999999999808
45.02000000000029,13.359999999999808
45.02000000000029,13.379999999999807
45.02000000000029,13.399999999999809
45.02000000000029,13.419999999999806
45.02000000000029,13.439999999999806
45.02000000000029,13.459999999999804
45.02000000000029,13.479999999999803
45.02000000000029,13.499999999999805
45.02000000000029,13.519999999999804
45.02000000000029,13.539999999999804
45.02000000000029,13.559999999999803
45.02000000000029,13.579999999999805
45.02000000000029,13.599999999999802
45.02000000000029,13.619999999999802
45.02000000000029,13.639999999999802
45.02000000000029,13.6599999999998
45.02000000000029,13.6799999999998
45.02000000000029,13.6999999999998
45.02000000000029,13.7199999999998
45.02000000000029,13.7399999999998
45.02000000000029,13.7599999999998
45.02000000000029,13.7799999999998
45.02000000000029,13.799999999999798
45.02000000000029,13.819999999999798
45.02000000000029,13.839999999999796
45.02000000000029,13.859999999999795
45.02000000000029,13.879999999999797
45.02000000000029,13.899999999999796
45.02000000000029,13.919999999999796
45.02000000000029,13.939999999999795
45.02000000000029,13.959999999999797
45.02000000000029,13.979999999999794
45.02000000000029,13.999999999999794
45.02000000000029,14.019999999999794
45.02000000000029,14.039999999999791
45.02000000000029,14.059999999999793
45.02000000000029,14.079999999999792
45.02000000000029,14.099999999999792
45.02000000000029,14.119999999999791
45.02000000000029,14.139999999999793
45.02000000000029,14.15999999999979
45.02000000000029,14.17999999999979
45.02000000000029,14.19999999999979
45.02000000000029,14.21999999999979
45.02000000000029,14.239999999999789
45.02000000000029,14.259999999999788
45.02000000000029,14.279999999999788
45.02000000000029,14.299999999999788
45.02000000000029,14.319999999999787
45.02000000000029,14.339999999999788
45.02000000000029,14.359999999999786
45.02000000000029,14.379999999999786
45.02000000000029,14.399999999999784
45.02000000000029,14.419999999999783
45.02000000000029,14.439999999999785
45.02000000000029,14.459999999999784
45.02000000000029,14.479999999999784
45.02000000000029,14.499999999999783
45.02000000000029,14.519999999999785
45.02000000000029,14.539999999999782
45.02000000000029,14.559999999999782
45.02000000000029,14.579999999999782
45.02000000000029,14.59999999999978
45.02000000000029,14.61999999999978
45.02000000000029,14.63999999999978
45.02000000000029,14.65999999999978
45.02000000000029,14.67999999999978
45.02000000000029,14.69999999999978
45.02000000000029,14.71999999999978
45.02000000000029,14.739999999999778
45.02000000000029,14.759999999999778
45.02000000000029,14.779999999999776
45.02000000000029,14.799999999999775
45.02000000000029,14.819999999999776
45.02000000000029,14.839999999999776
45.02000000000029,14.859999999999776
45.02000000000029,14.879999999999775
45.02000000000029,14.899999999999777
45.02000000000029,14.919999999999774
45.02000000000029,14.939999999999774
45.02000000000029,14.959999999999772
45.02000000000029,14.979999999999771
45.02000000000029,14.999999999999773
45.02000000000029,15.019999999999772
45.02000000000029,15.039999999999772
45.02000000000029,15.059999999999771
45.02000000000029,15.079999999999773
45.02000000000029,15.09999999999977
45.02000000000029,15.11999999999977
45.02000000000029,15.13999999999977
45.02000000000029,15.15999999999977
45.02000000000029,15.179999999999769
45.02000000000029,15.199999999999768
45.02000000000029,15.219999999999768
45.02000000000029,15.239999999999768
45.02000000000029,15.259999999999769
45.02000000000029,15.279999999999768
45.02000000000029,15.299999999999766
45.02000000000029,15.319999999999766
45.02000000000029,15.339999999999764
45.02000000000029,15.359999999999763
45.02000000000029,15.379999999999765
45.02000000000029,15.399999999999764
45.02000000000029,15.419999999999764
45.02000000000029,15.439999999999763
45.02000000000029,15.459999999999765
45.02000000000029,15.479999999999762
45.02000000000029,15.499999999999762
45.02000000000029,15.519999999999762
45.02000000000029,15.53999999999976
45.02000000000029,15.55999999999976
45.02000000000029,15.57999999999976
45.02000000000029,15.59999999999976
45.02000000000029,15.61999999999976
45.02000000000029,15.63999999999976
45.02000000000029,15.65999999999976
45.02000000000029,15.679999999999758
45.02000000000029,15.699999999999758
45.02000000000029,15.719999999999756
45.02000000000029,15.739999999999757
45.02000000000029,15.759999999999756
45.02000000000029,15.779999999999756
45.02000000000029,15.799999999999756
45.02000000000029,15.819999999999755
45.02000000000029,15.839999999999756
45.02000000000029,15.859999999999754
45.02000000000029,15.879999999999754
45.02000000000029,15.899999999999752
45.02000000000029,15.919999999999751
45.02000000000029,15.939999999999753
45.02000000000029,15.959999999999752
45.02000000000029,15.979999999999752
45.02000000000029,15.999999999999751
45.02000000000029,16.01999999999975
45.02000000000029,16.03999999999975
45.02000000000029,16.05999999999975
45.02000000000029,16.07999999999975
45.02000000000029,16.09999999999975
45.02000000000029,16.11999999999975
45.02000000000029,16.13999999999975
45.02000000000029,16.159999999999748
45.02000000000029,16.179999999999747
45.02000000000029,16.199999999999747
45.02000000000029,16.219999999999747
45.02000000000029,16.239999999999746
45.02000000000029,16.259999999999746
45.02000000000029,16.279999999999745
45.02000000000029,16.299999999999745
45.02000000000029,16.319999999999744
45.02000000000029,16.339999999999744
45.02000000000029,16.359999999999744
45.02000000000029,16.379999999999743
45.02000000000029,16.399999999999743
45.02000000000029,16.419999999999742
45.02000000000029,16.439999999999742
45.02000000000029,16.45999999999974
45.02000000000029,16.47999999999974
45.02000000000029,16.49999999999974
45.02000000000029,16.51999999999974
45.02000000000029,16.53999999999974
45.02000000000029,16.55999999999974
45.02000000000029,16.57999999999974
45.02000000000029,16.59999999999974
45.02000000000029,16.619999999999738
45.02000000000029,16.639999999999738
45.02000000000029,16.659999999999737
45.02000000000029,16.679999999999737
45.02000000000029,16.699999999999736
45.02000000000029,16.719999999999736
45.02000000000029,16.739999999999736
45.04000000000029,12.979999999999816
45.04000000000029,12.999999999999815
45.04000000000029,13.019999999999817
45.04000000000029,13.039999999999814
45.04000000000029,13.059999999999814
45.04000000000029,13.079999999999814
45.04000000000029,13.099999999999811
45.04000000000029,13.119999999999813
45.04000000000029,13.139999999999812
45.04000000000029,13.159999999999812
45.04000000000029,13.179999999999811
45.04000000000029,13.199999999999813
45.04000000000029,13.21999999999981
45.04000000000029,13.23999999999981
45.04000000000029,13.25999999999981
45.04000000000029,13.27999999999981
45.04000000000029,13.299999999999809
45.04000000000029,13.319999999999808
45.04000000000029,13.339999999999808
45.04000000000029,13.359999999999808
