Station,Temperature,Valid_UTC
Auto_VRSIC,7.5,21.10.2023 17:10 UTC
Auto_ZADLOG,13,21.10.2023 17:10 UTC
Auto_ZELENICA,9,21.10.2023 17:10 UTC
Auto_ZGORNJA KAPLA,15.1,21.10.2023 17:10 UTC
Auto_ZGORNJA RADOVNA,,21.10.2023 17:10 UTC
Auto_ZGORNJA SORICA,12.6,21.10.2023 17:10 UTC
Obs_NOVA GORICA,18,21.10.2023 17:00 UTC
Obs_CELJE,18,21.10.2023 17:00 UTC
Obs_CRNOMELJ,18,21.10.2023 17:00 UTC
Obs_KATARINA,14,21.10.2023 17:00 UTC
Obs_KOCEVJE,15,21.10.2023 17:00 UTC
Obs_KREDARICA,2,21.10.2023 17:00 UTC
Obs_CERKLJE - LETALISCE,18,21.10.2023 17:00 UTC
Obs_MARIBOR/SLIVNICA,18,21.10.2023 17:00 UTC
Obs_LJUBLJANA/BRNIK,16,21.10.2023 17:00 UTC
Obs_LESCE,16,21.10.2023 17:00 UTC
Obs_PORTOROZ/SECOVLJE,18,21.10.2023 17:00 UTC
Obs_LISCA,13,21.10.2023 17:00 UTC
Obs_LJUBLJANA/BEZIGRAD,18,21.10.2023 17:00 UTC
Obs_MURSKA SOBOTA,17,21.10.2023 17:00 UTC
Obs_NOVO MESTO,18,21.10.2023 17:00 UTC
Obs_POSTOJNA,14,21.10.2023 17:00 UTC
Obs_RATECE,12,21.10.2023 17:00 UTC
Obs_SLOVENJ GRADEC,16,21.10.2023 17:00 UTC
Obs_VOGEL,9,21.10.2023 17:00 UTC
Obs_VOJSKO,,21.10.2023 17:00 UTC
