domain_title,t,td,tavg,tx,tn,rh,rhavg,dd_val,ddavg_val,ddmax_val,ff_val,ffavg_val,ffmax_val,msl,mslavg,p,pavg,rr_val,snow,tp_1h_acc,tp_12h_acc,tp_24h_acc,tw,gSunRad,gSunRadavg,diffSunRad,diffSunRadavg,vis_val,t_5_cm,tavg_5_cm,tg_5_cm,tgavg_5_cm,tg_10_cm,tgavg_10_cm,tg_20_cm,tgavg_20_cm,tg_30_cm,tgavg_30_cm,tg_50_cm,tgavg_50_cm,hhs1_val,ns1_val,hhs2_val,ns2_val,hhs3_val,ns3_val,hhs4_val,ns4_val,rrHh,valid_UTC
KANIN,11.1,3.4,11.1,,,59,58,165,165,189,1.43,1.43,2.98,,,,,0,0,,0,,,611,609,72,71,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KOCEVJE,16.4,14.1,16.4,,,86,87,326,326,333,1.62,1.62,3.88,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KOPER - KAPETANIJA,22.7,18.1,22.7,22.8,22.6,76,78,273,275,271,2.3,2.1,3.2,1022.7,1022.7,1022.3,1022.3,,,,,,23.2,600,582,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
KORENSKO SEDLO,17.2,10.8,17,,,66,66,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
GORICKO KRAJINSKI PARK,16.9,12.7,16.5,17.2,15.9,76,79,156,162,171,4.2,4.2,5.6,,,,,0,,0,0,,,594,577,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
KRANJ,18.1,12.8,18,,,71,71,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KREDARICA,9.8,-3.1,9.8,,,40,39,273,273,249,7.07,7.07,11.9,,,760.1,760.1,0,,,0,,,660,656,79,78,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KRN,21.9,11.6,21.4,,,52,53,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KRVAVEC,14.1,0,14.3,,,38,39,275,275,291,4.1,4.1,6.85,,,,,0,0,,0,,,657,649,86,83,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KUBED,24.8,15.7,24.5,,,57,56,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KUM,17.5,9.9,17.5,,,61,60,186,186,195,2.92,2.92,4.96,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
LENDAVA,20.8,14.4,19.9,20.9,19,67,71,163,152,138,1.2,1.2,3.7,1023,1023,1004.4,1004.4,0,,0,0,,,569,557,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
CERKLJE - LETALISCE,19.8,14.1,19.2,19.8,18.6,70,73,198,186,198,0.9,0.77,1.9,1023.7,1023.7,1004.7,1004.7,0,,0,0,,,570,568,,,24,,,0,0,0,0,,,19.5,19.1,,,,0,,0,,0,,0,11.10.2023 10:00 UTC
MARIBOR/SLIVNICA,21.9,13.3,21.2,21.9,20.4,58,62,185,187,174,4.2,3.6,6.1,1021.9,1022.1,991.4,991.5,0,,0,0,,,582,567,,,24,,,16.3,15.9,15.7,15.6,,,16.6,16.6,,,,0,,0,,0,,0,11.10.2023 10:00 UTC
LJUBLJANA/BRNIK,15.2,13.1,15.1,,,87,87,120,120,123,1.44,1.44,2.86,1024.1,1024.2,979.1,979.1,0,0,,0,,,370,457,362,386,,,,17.8,17.7,16.4,16.3,16.1,16.1,16.8,16.8,17.7,17.7,400,6.25,600,8.75,,0,,0,11.10.2023 10:10 UTC
LESCE,19.7,12.8,19.2,19.7,18.7,64,63,181,178,186,1.4,1,2.6,1022.5,1022.5,964.2,964.1,0,,0,0,,,579,578,,,,,,15.7,15.6,15.7,15.7,,,16.4,16.4,,,,,,,,,,,11.10.2023 10:00 UTC
PORTOROZ/SECOVLJE,23.3,19.1,24,24.7,23,78,71,306,301,298,3,2.2,3.8,1022.2,1022.2,1022,1022,0,,0,0,,,576,558,,,,,,21.1,20.8,20.5,20.4,,,20.7,20.7,,,,0,,0,,0,,0,11.10.2023 10:00 UTC
LISCA,18.1,13.2,18.2,,,73,74,192,192,205,4.25,4.25,7.17,,,916.6,916.6,0,0,,0,,,616,614,125,122,43,,,,,,,,,,,,,,0,,0,,0,,0,11.10.2023 10:10 UTC
LITIJA - GRBIN,16.5,14,16.4,,,85,86,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
LJUBLJANA/BEZIGRAD,15.4,13.8,15.3,,,90,90,177,177,185,1.55,1.55,2.52,1024.4,1024.5,989.3,989.3,0,,,0,,,305,267,304,271,15,18.3,18.1,17.2,17.2,17.5,17.5,18.2,18.2,18.4,18.4,18.7,18.7,600,10,,0,,0,,0,11.10.2023 10:10 UTC
LOGARSKA DOLINA,16.8,10.4,16.6,,,66,67,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
LOGATEC,17.8,14.5,17.3,,,81,85,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
KOPER - LUKA,26,18.1,25.8,26,25.3,62,62,307,308,270,1.3,1.2,1.8,,,,,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
MALKOVEC,19.1,14.8,18.7,19.2,18.1,76,78,238,252,246,0.7,0.8,1.6,1024,1024.1,977.7,977.7,0,,0,0,,,604,580,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:00 UTC
MARIBOR/VRBANSKI PLATO,21,13.9,20.7,,,64,66,139,139,123,2.26,2.26,3.27,,,,,0,0,,0,,,557,577,152,149,,,,21.3,21.1,16.6,16.5,15.2,15.1,15.8,15.8,16.8,16.8,,,,,,,,,11.10.2023 10:10 UTC
MARINCA VAS,19.2,14.5,19.1,,,74,76,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
METLIKA,20.9,12.3,20.9,,,58,59,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
MEŽICA,16.8,12.1,16.6,,,74,76,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
MIKLAVz NA GORJANCIH,19.6,7.4,19.5,,,45,45,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
MURSKA SOBOTA,19.6,14.2,19.4,,,71,72,118,118,132,1.75,1.75,3.57,1022.9,1022.9,1001,1001.1,0,0,,0,,,566,564,126,126,32,23.7,23.6,17.2,17.1,16.3,16.2,16.2,16.2,17,17,17.5,17.5,,0,,0,,0,,0,11.10.2023 10:10 UTC
NANOS,18.2,10.6,18.2,,,61,61,190,190,199,2.07,2.07,4.97,,,,,0,0,,0,,,617,616,102,100,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
NOVA GORICA,24.9,15,24.7,,,54,53,154,154,,0.67,0.67,1.62,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
NOVA VAS - BLOKE,20.3,11,20.2,,,55,58,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10.2023 10:10 UTC
NOVO MESTO,20,15.2,19.5,,,74,75,306,306,328,1.29,1.29,2.71,1022.6,1022.7,997.8,997.8,0,0,,0,,,552,560,126,126,50,22.9,23.5,18.7,18.6,17.1,17.1,16.6,16.6,17,17,17.7,17.7,,0,,0,,0,,0,11.10.2023 10:10 UTC
