Latitude,Longitude,Temperature (Celsius)
45.16000000000031,12.199999999999832,32.84865722656252
45.16000000000031,12.219999999999832,32.78908691406252
45.16000000000031,12.239999999999831,32.66018066406252
45.16000000000031,12.259999999999831,32.58986816406252
45.16000000000031,12.27999999999983,32.39943847656252
45.16000000000031,12.29999999999983,32.35549316406252
45.16000000000031,12.31999999999983,31.766625976562523
45.16000000000031,12.33999999999983,28.077172851562523
45.16000000000031,12.359999999999829,28.077172851562523
45.16000000000031,12.379999999999828,28.346704101562523
45.16000000000031,12.399999999999828,28.346704101562523
45.16000000000031,12.419999999999828,28.384790039062523
45.16000000000031,12.439999999999827,28.472680664062523
45.16000000000031,12.459999999999827,28.553735351562523
45.16000000000031,12.479999999999826,28.670922851562523
45.16000000000031,12.499999999999826,28.734399414062523
45.16000000000031,12.519999999999825,28.803735351562523
45.16000000000031,12.539999999999825,28.838891601562523
45.16000000000031,12.559999999999825,28.858422851562523
45.16000000000031,12.579999999999824,28.862329101562523
45.16000000000031,12.599999999999824,28.853540039062523
45.16000000000031,12.619999999999823,28.848657226562523
45.16000000000031,12.639999999999823,28.854516601562523
45.16000000000031,12.659999999999823,28.824243164062523
45.16000000000031,12.679999999999822,28.804711914062523
45.16000000000031,12.699999999999822,28.768579101562523
45.16000000000031,12.719999999999821,28.749047851562523
45.16000000000031,12.73999999999982,28.718774414062523
45.16000000000031,12.75999999999982,28.703149414062523
45.16000000000031,12.77999999999982,28.686547851562523
45.16000000000031,12.79999999999982,28.670922851562523
45.16000000000031,12.819999999999819,28.643579101562523
45.16000000000031,12.839999999999819,28.639672851562523
45.16000000000031,12.859999999999818,28.619165039062523
45.16000000000031,12.879999999999818,28.608422851562523
45.16000000000031,12.899999999999817,28.606469726562523
45.16000000000031,12.919999999999817,28.573266601562523
45.16000000000031,12.939999999999817,28.544946289062523
45.16000000000031,12.959999999999816,28.537133789062523
45.16000000000031,12.979999999999816,28.507836914062523
45.16000000000031,12.999999999999815,28.501000976562523
45.16000000000031,13.019999999999815,28.472680664062523
45.16000000000031,13.039999999999814,28.474633789062523
45.16000000000031,13.059999999999814,28.453149414062523
45.16000000000031,13.079999999999814,28.456079101562523
45.16000000000031,13.099999999999813,28.444360351562523
45.16000000000031,13.119999999999813,28.444360351562523
45.16000000000031,13.139999999999812,28.450219726562523
45.16000000000031,13.159999999999812,28.450219726562523
45.16000000000031,13.179999999999811,28.474633789062523
45.16000000000031,13.199999999999811,28.474633789062523
45.16000000000031,13.21999999999981,28.471704101562523
45.16000000000031,13.23999999999981,28.504907226562523
45.16000000000031,13.25999999999981,28.443383789062523
45.16000000000031,13.27999999999981,28.471704101562523
45.16000000000031,13.299999999999809,28.471704101562523
45.16000000000031,13.319999999999808,28.490258789062523
45.16000000000031,13.339999999999808,28.490258789062523
45.16000000000031,13.359999999999808,28.588891601562523
45.16000000000031,13.379999999999807,28.588891601562523
45.16000000000031,13.399999999999807,28.735375976562523
45.16000000000031,13.419999999999806,28.735375976562523
45.16000000000031,13.439999999999806,28.555688476562523
45.16000000000031,13.459999999999805,28.555688476562523
45.16000000000031,13.479999999999805,28.173852539062523
45.16000000000031,13.499999999999805,28.173852539062523
45.16000000000031,13.519999999999804,28.040063476562523
45.16000000000031,13.539999999999804,27.748071289062523
45.16000000000031,13.559999999999803,27.748071289062523
45.16000000000031,13.579999999999803,27.118188476562523
45.16000000000031,13.599999999999802,27.118188476562523
45.16000000000031,13.619999999999802,34.41604003906252
45.16000000000031,13.639999999999802,34.09182128906252
45.16000000000031,13.659999999999801,33.30080566406252
45.16000000000031,13.6799999999998,33.30080566406252
45.16000000000031,13.6999999999998,32.63674316406252
45.16000000000031,13.7199999999998,32.63674316406252
45.16000000000031,13.7399999999998,32.54494628906252
45.16000000000031,13.759999999999799,32.59377441406252
45.16000000000031,13.779999999999799,32.03518066406252
45.16000000000031,13.799999999999798,31.376000976562523
45.16000000000031,13.819999999999798,31.376000976562523
45.16000000000031,13.839999999999797,31.366235351562523
45.16000000000031,13.859999999999797,31.366235351562523
45.16000000000031,13.879999999999797,30.129907226562523
45.16000000000031,13.899999999999796,30.129907226562523
45.16000000000031,13.919999999999796,29.645532226562523
45.16000000000031,13.939999999999795,29.671899414062523
45.16000000000031,13.959999999999795,29.667016601562523
45.16000000000031,13.979999999999794,29.678735351562523
45.16000000000031,13.999999999999794,30.086938476562523
45.16000000000031,14.019999999999794,30.363305664062523
45.16000000000031,14.039999999999793,31.373071289062523
45.16000000000031,14.059999999999793,31.523461914062523
45.16000000000031,14.079999999999792,31.171899414062523
45.16000000000031,14.099999999999792,31.578149414062523
45.16000000000031,14.119999999999791,31.578149414062523
45.16000000000031,14.139999999999791,32.23049316406252
45.16000000000031,14.15999999999979,31.913110351562523
45.16000000000031,14.17999999999979,30.326196289062523
45.16000000000031,14.19999999999979,28.501977539062523
45.16000000000031,14.21999999999979,30.384790039062523
45.16000000000031,14.239999999999789,30.068383789062523
45.16000000000031,14.259999999999788,29.347680664062523
45.16000000000031,14.279999999999788,30.471704101562523
45.16000000000031,14.299999999999788,31.914086914062523
45.16000000000031,14.319999999999787,31.914086914062523
45.16000000000031,14.339999999999787,31.282250976562523
45.16000000000031,14.359999999999786,31.282250976562523
45.16000000000031,14.379999999999786,29.472680664062523
45.16000000000031,14.399999999999785,29.113305664062523
45.16000000000031,14.419999999999785,29.242211914062523
45.16000000000031,14.439999999999785,29.673852539062523
45.16000000000031,14.459999999999784,30.168969726562523
45.16000000000031,14.479999999999784,31.019555664062523
45.16000000000031,14.499999999999783,31.019555664062523
45.16000000000031,14.519999999999783,32.62111816406252
45.16000000000031,14.539999999999782,32.62111816406252
45.16000000000031,14.559999999999782,32.86916503906252
45.16000000000031,14.579999999999782,32.86916503906252
45.16000000000031,14.599999999999781,32.04494628906252
45.16000000000031,14.61999999999978,32.04494628906252
45.16000000000031,14.63999999999978,32.08498535156252
45.16000000000031,14.65999999999978,31.501977539062523
45.16000000000031,14.67999999999978,31.451196289062523
45.16000000000031,14.699999999999779,32.16994628906252
45.16000000000031,14.719999999999779,32.16994628906252
45.16000000000031,14.739999999999778,32.45998535156252
45.16000000000031,14.759999999999778,32.45998535156252
45.16000000000031,14.779999999999777,28.908227539062523
45.16000000000031,14.799999999999777,28.908227539062523
45.16000000000031,14.819999999999776,28.052758789062523
45.16000000000031,14.839999999999776,28.052758789062523
45.16000000000031,14.859999999999776,26.159204101562523
45.16000000000031,14.879999999999775,26.159204101562523
45.16000000000031,14.899999999999775,23.265649414062523
45.16000000000031,14.919999999999774,23.902368164062523
45.16000000000031,14.939999999999774,23.902368164062523
45.16000000000031,14.959999999999773,23.201196289062523
45.16000000000031,14.979999999999773,23.201196289062523
45.16000000000031,14.999999999999773,26.507836914062523
45.16000000000031,15.019999999999772,26.507836914062523
45.16000000000031,15.039999999999772,27.611352539062523
45.16000000000031,15.059999999999771,27.611352539062523
45.16000000000031,15.079999999999771,27.715844726562523
45.16000000000031,15.09999999999977,27.922875976562523
45.16000000000031,15.11999999999977,26.435571289062523
45.16000000000031,15.13999999999977,24.558618164062523
45.16000000000031,15.15999999999977,23.765649414062523
45.16000000000031,15.179999999999769,23.599633789062523
45.16000000000031,15.199999999999768,24.874047851562523
45.16000000000031,15.219999999999768,27.553735351562523
