Station,Temperature,Valid_UTC,Latitude,Longitude,Altitude
auto_goricko_krajinski_park,7.8,10.11.2023 20:00 UTC,46.8359,16.0307,415
auto_kranj,8.5,10.11.2023 20:20 UTC,46.2477,14.3647,403
auto_kredarica,-5.3,10.11.2023 20:20 UTC,46.3787,13.8489,2514
auto_krn,4.5,10.11.2023 20:20 UTC,46.238,13.658,918
auto_krsko_nek,9.1,10.11.2023 20:00 UTC,45.9399,15.5131,156
auto_krvavec,-0.3,10.11.2023 20:20 UTC,46.2974,14.5333,1740
auto_kubed,9.4,10.11.2023 20:20 UTC,45.52,13.8689,234
auto_kum,3,10.11.2023 20:20 UTC,46.0879,15.0732,1211
auto_lendava,8.7,10.11.2023 20:00 UTC,46.5526,16.4579,159
auto_cerklje_letalisce,9.3,10.11.2023 20:00 UTC,45.901,15.5161,154
auto_maribor_slivnica,8.6,10.11.2023 20:00 UTC,46.4797,15.6818,264
auto_ljubljana_brnik,7.8,10.11.2023 20:20 UTC,46.2114,14.4784,364
auto_lesce,7.8,10.11.2023 20:00 UTC,46.362,14.1718,509
auto_portoroz_secovlje,10.7,10.11.2023 20:00 UTC,45.4753,13.616,2
auto_lisca,5,10.11.2023 20:20 UTC,46.0678,15.2849,947
auto_litija_grbin,8.4,10.11.2023 20:20 UTC,46.0651,14.8185,272
auto_ljubljana_bezigrad,8.7,10.11.2023 20:20 UTC,46.0655,14.5124,299
auto_logarska_dolina,5.4,10.11.2023 20:20 UTC,46.3936,14.6311,776
auto_logatec,6.5,10.11.2023 20:20 UTC,45.9077,14.2032,486
auto_koper_luka,11.1,10.11.2023 20:00 UTC,45.5645,13.7448,-2
auto_malkovec,8.2,10.11.2023 20:00 UTC,45.9531,15.2049,400
auto_maribor_vrbanski_plato,8.3,10.11.2023 20:20 UTC,46.5678,15.626,279
auto_marinca_vas,8.5,10.11.2023 20:20 UTC,45.8719,14.8178,272
auto_metlika,9.7,10.11.2023 20:20 UTC,45.6442,15.3201,210
auto_mežica,6.4,10.11.2023 20:20 UTC,46.5296,14.8596,469
auto_miklavz_na_gorjancih,5.3,10.11.2023 20:20 UTC,45.775,15.3199,959
auto_murska_sobota,8.7,10.11.2023 20:20 UTC,46.6521,16.1913,188
auto_nanos,2.9,10.11.2023 20:20 UTC,45.7714,14.0536,1242
auto_nova_gorica,9.3,10.11.2023 20:20 UTC,45.9556,13.6524,113
auto_nova_vas_bloke,4,10.11.2023 20:20 UTC,45.7689,14.5088,718
auto_novo_mesto,9.2,10.11.2023 20:20 UTC,45.8018,15.1773,220
auto_osilnica,8.4,10.11.2023 20:20 UTC,45.5314,14.6915,331
auto_otlica,3.9,10.11.2023 20:20 UTC,45.9377,13.9116,965
auto_skocjan,7.8,10.11.2023 20:00 UTC,45.6638,13.9931,420
auto_pasja_ravan,3.9,10.11.2023 20:20 UTC,46.0979,14.2282,1019
auto_pavlicevo_sedlo,1.6,10.11.2023 20:20 UTC,46.4251,14.5853,1337
auto_piran_ocean_boja,13.6,10.11.2023 20:00 UTC,45.5508,13.5454,0
auto_planina_pod_golico,4.3,10.11.2023 20:20 UTC,46.4672,14.0525,957
auto_podcetrtek_atomske_toplice,8.7,10.11.2023 20:00 UTC,46.1547,15.6083,202
auto_podnanos,9.4,10.11.2023 20:20 UTC,45.8045,13.9659,153
auto_postojna,7,10.11.2023 20:20 UTC,45.7722,14.1973,538
auto_predel,3,10.11.2023 20:20 UTC,46.4183,13.5783,1155
auto_ptuj,9.3,10.11.2023 20:20 UTC,46.4197,15.8492,222
auto_radegunda,5.9,10.11.2023 20:20 UTC,46.3661,14.933,794
auto_ratece,4.8,10.11.2023 20:00 UTC,46.4971,13.7129,864
auto_ratitovec,0,10.11.2023 20:20 UTC,46.2362,14.0902,1639
auto_ravne_na_koroskem,6.7,10.11.2023 20:00 UTC,46.5477,14.94,396
auto_rogaska_slatina,8,10.11.2023 20:20 UTC,46.2409,15.6439,288
auto_rogla,1.8,10.11.2023 20:20 UTC,46.453,15.3315,1495
auto_rudno_polje,1.5,10.11.2023 20:20 UTC,46.3463,13.9235,1344
auto_sevno,6,10.11.2023 20:20 UTC,45.9821,14.9236,556
auto_slavnik,5.1,10.11.2023 20:20 UTC,45.5336,13.976,1020
auto_slovenske_konjice,8.6,10.11.2023 20:20 UTC,46.3433,15.4367,328
auto_trije_kralji_na_pohorju,3.4,10.11.2023 20:20 UTC,46.4399,15.4567,1230
auto_sviscaki,3.1,10.11.2023 20:20 UTC,45.5756,14.3988,1302
auto_sebreljski_vrh,4.1,10.11.2023 20:20 UTC,46.0629,13.9113,1066
auto_slovenj_gradec,7.4,10.11.2023 20:20 UTC,46.4896,15.1112,455
auto_tatre,6.9,10.11.2023 20:20 UTC,45.5989,14.0875,748
auto_tolmin_volce,8.8,10.11.2023 20:20 UTC,46.1777,13.718,187
auto_topol,6.1,10.11.2023 20:20 UTC,46.0941,14.3713,695
auto_trbovlje,9.1,10.11.2023 20:20 UTC,46.1575,15.054,284
auto_trebnje,8.2,10.11.2023 20:20 UTC,45.911,15.0072,277
auto_trojane_limovce,6.6,10.11.2023 20:20 UTC,46.1984,14.9113,673
auto_vedrijan,9.5,10.11.2023 20:20 UTC,46.0131,13.541,231
auto_velenje,8.3,10.11.2023 20:20 UTC,46.3603,15.1119,410
auto_velike_lasce,4.7,10.11.2023 20:20 UTC,45.831,14.6427,528
auto_vogel,0.3,10.11.2023 20:20 UTC,46.2594,13.8396,1515
auto_vrhnika,7.6,10.11.2023 20:20 UTC,45.966,14.2717,310
auto_vrsic,-0.1,10.11.2023 20:20 UTC,46.4328,13.7478,1684
auto_zadlog,5.3,10.11.2023 20:20 UTC,45.9395,14.0023,716
auto_zelenica,0.4,10.11.2023 20:20 UTC,46.4289,14.233,1534
auto_zgornja_kapla,5.4,10.11.2023 20:20 UTC,46.6434,15.3501,722
auto_zgornja_radovna,5.6,10.11.2023 20:20 UTC,46.424,13.9352,777
auto_zgornja_sorica,4.1,10.11.2023 20:20 UTC,46.2221,14.0286,846
obs_nova_gorica,9,10.11.2023 20:00 UTC,45.8958,13.6289,55.0
obs_celje,9,10.11.2023 20:00 UTC,46.2447,15.2525,244.0
obs_crnomelj,10,10.11.2023 20:00 UTC,45.5603,15.1508,157.0
obs_katarina,6,10.11.2023 20:00 UTC,46.0933,14.3756,660
obs_kocevje,8,10.11.2023 20:00 UTC,45.6453,14.8542,467.0
obs_kredarica,-5,10.11.2023 20:00 UTC,46.3794,13.8539,2514
obs_cerklje_letalisce,9,10.11.2023 20:00 UTC,45.8936,15.525,154.0
obs_maribor_slivnica,9,10.11.2023 20:00 UTC,46.48,15.6869,264.0
obs_ljubljana_brnik,8,10.11.2023 20:00 UTC,46.2178,14.4775,364.0
obs_lesce,8,10.11.2023 20:00 UTC,46.37,14.18,509.0
obs_portoroz_secovlje,11,10.11.2023 20:00 UTC,45.4756,13.6206,2.0
obs_lisca,5,10.11.2023 20:00 UTC,46.0681,15.2897,947
obs_ljubljana_bezigrad,9,10.11.2023 20:00 UTC,46.0658,14.5172,299.0
obs_murska_sobota,9,10.11.2023 20:00 UTC,46.6525,16.1961,188.0
obs_novo_mesto,9,10.11.2023 20:00 UTC,45.8019,15.1822,220.0
obs_postojna,7,10.11.2023 20:00 UTC,45.7664,14.1975,533.0
obs_ratece,5,10.11.2023 20:00 UTC,46.4975,13.7175,864.0
obs_slovenj_gradec,7,10.11.2023 20:00 UTC,46.49,15.1161,455.0
obs_vogel,0,10.11.2023 20:00 UTC,46.2639,13.8456,1535
obs_vojsko,,10.11.2023 20:00 UTC,46.0253,13.9078,1067
